areaName,Borough,areaType,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10
East Flatbush,Brooklyn,neighborhood,1900,2000,2000,2000,1999,1999,2050,2100,2000,1925,1950,1997,2080,2085,2095,2050,2195,2100,2150,2250,2399,2100,2125,2199,2195,2000,2200,2200,2125,2100,2100,2100,2194,2166,2150,2200,2200,2195,2200,2195,2250,2203,2205,2195,2100,2100,2100,2150,2150,2260,2199,2100,2199,2185,2100,2100,2100,2056,2150,2200,2399,2425,2450,2499,2499,2460,2500,2495,2497,2485,2483,2583,2600,2600,2600,2699,2699,2700,2640,2650,2650,2695
East Harlem,Manhattan,neighborhood,2375,2334,2350,2350,2395,2405,2425,2395,2375,2370,2295,2350,2295,2298,2350,2250,2350,2350,2325,2300,2300,2296,2250,2200,2250,2387,2400,2400,2428,2399,2500,2450,2433,2400,2389,2375,2400,2400,2450,2495,2450,2300,2345,2295,2245,2195,2150,2090,2100,2000,2000,2095,2195,2250,2295,2295,2275,2250,2250,2275,2400,2550,2495,2595,2700,2695,2750,2800,2700,2700,2725,2697,2700,2699,2700,2850,2933,2995,2950,2990,2900,2850
East New York,Brooklyn,neighborhood,1950,1950,2000,2000,2099,2000,2050,2100,1950,1850,1900,1995,2000,2100,2150,2100,2150,2150,2150,2200,2180,2199,2100,2148,2075,2175,2150,2100,2100,2150,2200,2150,2200,2250,2200,2200,2225,2250,2200,2195,2250,2250,2200,2193,2150,2100,2038,2100,2123,2100,2150,2125,2100,2100,2163,2100,2199,2199,2200,2250,2250,2195,2200,2200,2300,2400,2383,2400,2400,2448,2500,2500,2500,2500,2500,2575,2495,2575,2700,3000,2900,2800
East Tremont,Bronx,neighborhood,1500,1588,1625,1850,1775,1750,1750,,1690,1690,,1700,1700,1700,1650,1663,,1775,1850,1850,1750,2100,1850,1910,1900,1800,1900,1625,1625,1625,,1643,1650,1650,1900,,1798,1845,,,,1900,1900,1790,1700,1650,1650,1699,1950,,1575,,,1950,1950,1999,2300,2375,2250,2200,1750,1750,1738,,2240,2394,2350,2385,2388,2288,1972,2023,2175,2175,2750,2650,2236,1888,2550,2275,2400,2450
East Village,Manhattan,neighborhood,3000,3194,3163,3350,3348,3277,3250,3200,3000,3000,2900,2914,2995,3000,3050,3285,3485,3456,3389,3395,3283,3200,3150,3100,3099,3185,3195,3400,3500,3595,3550,3450,3400,3400,3395,3100,3200,3230,3195,3250,3250,3200,3100,2995,2850,2749,2699,2600,2595,2524,2600,2700,2850,3150,3400,3395,3400,3495,3600,3700,3795,3900,3925,4100,4250,4250,4200,4132,4000,4000,3995,3948,3990,4195,4100,4300,4395,4250,4200,4250,4200,4000
Eastchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edenwald,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187,,,,,,,
Elmhurst,Queens,neighborhood,1825,2100,2000,2000,2100,1968,2090,1950,1950,1897,1896,1900,1950,1935,1935,1925,1879,1750,1950,1990,2050,1913,1875,1900,1950,1900,1900,1900,1925,2166,2100,2100,1849,1950,1945,1875,1925,2000,2050,2043,2095,2000,1933,1900,1899,1800,1775,1850,1775,1750,1800,1800,1850,1900,1800,1800,1950,1965,2000,1995,2000,2100,2034,2173,2000,2195,2100,2091,2199,2100,2221,2198,2185,2325,2325,2186,2395,2100,2150,2150,2400,2550
Financial District,Manhattan,neighborhood,3450,3467,3558,3590,3625,3600,3750,3750,3695,3602,3640,3615,3565,3720,3595,3565,3580,3600,3702,3783,3753,3735,3692,3640,3695,3753,3664,3858,3827,3855,3850,3750,3771,3750,3773,3708,3754,3795,3750,3600,3535,3450,3300,3297,3200,3200,3195,3174,3164,3248,3295,3375,3400,3650,4000,4095,4350,4350,4300,4428,4500,4500,4300,4355,4425,4400,4400,4495,4500,4400,4366,4386,4375,4330,4377,4500,4500,4500,4567,4475,4495,4500
Flatbush,Brooklyn,neighborhood,1895,1900,1900,1950,1950,2000,2100,2050,2000,2095,1995,1950,2000,2000,1999,1950,2050,2095,2099,2200,2200,2142,2150,2122,2085,2153,2095,2165,2150,2244,2249,2250,2300,2311,2299,2333,2381,2300,2300,2300,2275,2299,2250,2250,2175,2150,2080,2100,2100,2099,2050,2099,2186,2200,2200,2250,2250,2400,2399,2300,2450,2600,2552,2575,2575,2860,2860,2800,2825,2730,2600,2600,2600,2649,2700,2747,2894,2960,2975,2975,2860,2800
Flatiron,Manhattan,neighborhood,4573,4600,4498,4650,4700,4595,4500,4800,4800,4668,4795,4700,4601,4572,4498,4495,4575,4595,4600,4615,4875,4875,4509,4635,4799,4890,4800,4848,4950,4954,4997,5195,5150,4912,4938,4935,4850,4717,4945,4553,4371,4300,4143,4000,4250,4000,3971,3995,4018,4200,4200,4350,4440,4877,5304,5451,5600,5500,5510,5410,5331,5623,5652,5750,5900,6081,6150,5995,5945,5721,5728,5712,5910,5750,5763,5800,5917,6000,5995,6000,5912,5850
Flatlands,Brooklyn,neighborhood,,,,,2100,2150,,,,,2100,,1850,2000,,,,,,1875,2200,2000,1925,1850,1725,2499,2448,,,2150,1600,,2150,2000,,1900,,,,,,,2163,2125,,,,,,,,1773,1775,1700,,,,,,,2195,,2400,2100,,2800,2875,,,2550,2575,2650,2200,2300,2300,2550,2100,2250,,,,
Floral Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flushing,Queens,neighborhood,2200,2188,1925,2000,2000,2200,2300,2200,1950,2000,1988,1887,1950,1863,1800,1950,1975,1975,1895,1995,1998,1850,1905,1900,1885,1900,1938,1950,1950,2000,2000,1925,1901,1848,1846,1850,1893,2050,2150,1873,1900,2165,2100,2000,2100,2050,2000,2099,1900,1900,1950,2035,1995,2073,2100,2000,1950,1800,1850,1950,1950,1950,2000,1998,2000,2073,2100,2150,2150,2200,2200,2200,2150,2100,2000,2145,2425,2500,2300,2300,2500,2500
Fordham,Bronx,neighborhood,1475,1625,1825,1700,1783,1750,1815,1795,1825,1800,1708,1753,1845,1718,1823,1749,1750,1748,1825,1940,2000,1900,1673,1723,1750,1750,1698,1700,1800,2000,1923,1750,1883,1695,1625,1650,1623,1738,1725,1750,1700,1650,1650,1640,1675,1835,1750,1663,1725,1675,1833,1850,1838,1850,1888,1700,1850,1795,1650,1738,1650,1800,1850,1850,1796,1800,1750,1850,1850,1795,1750,1777,1775,1898,1670,2000,2095,2100,2100,2100,2250,2000
Forest Hills,Queens,neighborhood,2100,2100,2000,2000,1997,2100,2138,2100,2100,2100,2100,2050,2000,2000,2100,1983,1950,1975,2000,2150,2100,2000,2000,1995,2048,2000,2050,2095,2100,2100,2200,2285,2200,2149,2145,2183,2133,2150,2100,2100,2095,2000,2000,2000,2000,2000,2000,1995,1995,1998,1970,1950,1995,1995,1980,1995,2100,2150,2100,2100,2200,2200,2150,2290,2500,2373,2486,2500,2500,2350,2450,2495,2500,2500,2497,2500,2550,2525,2900,2950,2800,2495
Fort Greene,Brooklyn,neighborhood,2750,2800,2865,3000,2900,2950,2900,2900,2842,2750,2700,2750,2700,2700,2700,2800,2800,2875,2973,2963,2899,2850,3048,2950,2800,2895,3000,3300,3498,3300,3375,3350,3048,3094,3116,3195,3250,3081,3348,3200,3185,2952,2900,2875,2799,2820,2800,2800,2754,2628,2745,2699,2808,2900,3167,3374,3500,3475,3607,3613,3467,3495,3600,3890,3853,3900,4002,4000,3867,4166,4200,3795,3650,3798,3975,4000,3865,3944,4195,4195,4102,4100
Fresh Meadows,Queens,neighborhood,,1925,1950,2100,1975,2375,2450,,,,,,,,,,,,,,,,,,,,,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855,,,,,,,,,,,,,,2298,2400,2500,
Gerritsen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Oaks,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Queens,neighborhood,2200,2200,2000,2000,2000,2000,2000,2000,1925,2023,2050,1999,2000,2000,2000,2150,2200,2100,2275,2000,2000,2050,2038,2000,2000,2000,2292,2246,2113,2000,2100,2200,2273,2200,2100,2100,2185,2175,2375,2400,2275,2200,2233,2200,2200,2225,2082,2013,2050,2000,2000,2000,2000,2100,2000,2225,2300,2000,2200,2200,2150,2199,2300,2300,2300,2500,2350,2350,2299,2199,2350,2350,2375,2500,2500,2575,2500,2500,2500,2400,2500,2500
Gowanus,Brooklyn,neighborhood,3050,3050,2800,2760,2900,2881,2880,3000,3000,2800,2776,2700,2753,2756,2660,2770,3200,3000,3200,3300,2780,2883,2855,2888,3110,2900,2656,2700,2847,3390,3000,2998,3483,3200,3200,3135,2783,3000,3300,3050,3000,2700,2650,2670,2825,2708,2700,2772,2600,2600,2595,2700,2800,2900,2913,2900,2850,3050,3048,3000,3450,3799,3600,3235,3940,4098,4295,3998,3700,3600,3715,3933,3885,3997,3900,3800,4000,3500,4013,4100,3980,3913
Gramercy Park,Manhattan,neighborhood,3460,3500,3500,3583,3600,3500,3495,3490,3495,3300,3200,3300,3450,3500,3513,3475,3795,3500,3590,3580,3700,3500,3550,3600,3513,3763,3800,3795,3995,4195,4295,4100,4107,3800,3800,3900,3995,3795,3800,3500,3475,3500,3395,3299,3228,3175,3100,3100,3000,2900,2895,2950,2973,3113,3380,3495,3800,4000,3975,4495,4625,4395,4500,4500,4395,4500,4583,4490,4598,4500,4395,4495,4625,4850,4600,4650,4600,4725,4500,4600,4795,4850
Gravesend,Brooklyn,neighborhood,1800,1895,1800,1800,1750,1800,1800,1713,1800,1710,1875,1735,1698,1700,1750,1799,1913,1799,1800,1850,1765,1950,1800,1738,1700,1713,1750,1750,1795,1742,1799,1799,1871,1900,1900,1800,1950,1950,1825,1775,1800,1813,1875,1800,1825,1776,1776,1700,1725,1750,1758,1750,1800,1800,1800,1810,1825,1850,2000,1875,1925,1969,2100,2099,2025,2300,2100,2000,2000,2000,2350,2325,2563,2300,2300,2400,2373,2373,2350,2300,2795,2488
Greenpoint,Brooklyn,neighborhood,2800,2800,2750,2750,2795,2900,2900,2795,2850,2703,2700,2595,2600,2595,2700,2750,2763,2995,3000,2950,2897,2800,2785,2800,2847,2799,2750,2850,3135,3100,3200,3320,3300,3100,2999,2975,3151,3300,3235,3125,3100,3000,2916,2995,2825,2700,2750,2700,2650,2799,2750,2806,2812,3000,3352,3400,3400,3400,3400,3500,3516,3599,3658,3795,3950,4200,4250,4200,4200,4253,4099,4099,3950,4000,4000,4015,4398,4400,4400,4500,4500,4308
Greenwich Village,Manhattan,neighborhood,3850,3798,3800,3800,3713,3595,3600,3500,3600,3593,3550,3525,3550,3773,3538,3625,3643,3800,3800,3700,3799,3695,3950,3895,4195,3795,3775,3698,3995,3800,4000,3995,4596,4650,4413,4298,4200,4000,4000,3700,3700,3540,3500,3329,3298,3200,3000,3002,3100,3200,3200,3100,3200,3500,3600,4040,3995,4298,4225,4248,4500,4400,4500,4398,4500,4600,4700,4900,5295,4775,5095,5200,5400,5198,4813,4973,5050,4995,4950,4898,4995,4995
Greenwood,Brooklyn,neighborhood,2198,2200,2197,2300,2300,2350,2300,2350,2300,2500,2450,2375,2190,2250,2400,2425,2550,2665,2673,2750,2600,2400,2395,2200,2250,2350,2299,2323,2492,2450,2499,2550,2398,2499,2500,2450,2499,2500,2550,2500,2500,2499,2400,2399,2200,2200,2050,2100,2100,2000,2000,2100,2213,2200,2299,2350,2350,2400,2399,2300,2400,2398,2500,2800,3000,2750,2800,3150,2895,3000,3199,3208,3259,3267,3195,3045,3373,3300,3100,3000,3150,3450
Hamilton Heights,Manhattan,neighborhood,2400,2375,2399,2400,2441,2500,2480,2400,2495,2400,2350,2325,2250,2200,2400,2571,2475,2400,2500,2500,2595,2428,2495,2400,2363,2400,2473,2500,2500,2548,2550,2600,2595,2438,2450,2425,2350,2500,2600,2695,2500,2500,2475,2395,2300,2348,2292,2292,2292,2250,2200,2250,2300,2300,2350,2350,2350,2400,2425,2500,2495,2500,2550,2599,2643,2795,2773,2750,2800,3000,2795,2600,2695,2650,2599,2650,2700,2800,2885,2970,2970,2800
Highbridge,Bronx,neighborhood,1650,1650,1650,1588,1625,1750,1800,1750,2030,1850,1790,1790,1885,1970,1800,1763,1800,1800,1775,1725,1800,1995,1950,1950,2161,2161,1850,1630,1636,1850,1948,1850,1675,1750,1800,1900,1935,1945,1800,1952,1902,1902,2000,1843,1825,1875,1799,1700,1650,1713,1852,1796,1880,1900,1902,1904,1850,1825,1698,1875,1904,,2072,2048,2095,2100,2100,2100,1895,1725,1760,2053,2100,2338,1900,2100,2300,2349,2275,2300,2375,2375
Hillcrest,Queens,neighborhood,,,2500,2425,2350,2375,2525,,,,,,,,,2550,,,,4075,3600,,,3350,3100,,3200,,2850,2500,2300,,,,,,,,,,,,2900,,,,,,,,,,,,,,,,,,,2200,,,,,,,,3985,,,,,,,,,,,,
Hollis,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751,1618,1657,,2158,,,,,,,,,,,,,,,,,,,,,,,
Howard Beach,Queens,neighborhood,,,,,,2200,1950,,,1725,,,,,1800,,,,2000,1900,2000,,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,2300,2500,2490,,2200,2500,2500,2250,2200,2400,,,2600,,2500,,,,,2700
Hunts Point,Bronx,neighborhood,,,,,,1650,1650,,,,2125,,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwood,Manhattan,neighborhood,1750,1800,1850,1875,1891,1850,1850,1850,1845,1845,1750,1795,1850,1850,1900,1900,1850,2000,2000,1938,1925,1975,1900,1875,1800,1952,1910,1950,1895,1963,2060,2050,2065,2100,2000,2000,2025,2050,1995,2075,2000,1900,1940,2000,1925,1875,1875,1850,1850,1900,1940,1899,1850,1800,1850,1850,1913,1950,1925,1950,2000,2050,2050,2198,2150,2044,2050,2125,2185,2008,2000,2000,2100,2000,2000,2100,2185,2195,2195,2173,2313,2200
Jackson Heights,Queens,neighborhood,1950,1850,1850,1850,1850,1850,1850,1850,1900,1850,1900,1925,1900,1950,1895,1875,1850,1850,1950,1950,1950,1900,1795,1795,1799,1800,1850,1900,1992,1995,2100,2000,2000,1938,2000,1997,2099,2100,2000,2000,1982,2000,1999,1950,1950,1950,1875,1800,1800,1838,1850,1800,1800,1880,1923,1900,1900,2000,2100,2000,1900,1945,1900,2075,2113,2013,2100,2099,2200,2195,2200,2198,2100,2250,2275,2300,2300,2400,2495,2500,2499,2300
Jamaica,Queens,neighborhood,1903,1950,2010,2000,1975,2383,2450,1725,1763,2050,1828,1828,1995,1995,1995,1998,1946,2200,2383,2329,2275,2170,2170,2125,2170,2000,2125,2170,2170,2170,2170,2178,2200,2200,2200,2200,2188,2229,2263,2175,2075,1994,2111,1999,2002,2083,2105,2025,2163,2248,2000,2000,2125,2200,2225,2565,2313,2409,2442,2368,2390,2368,2405,2598,2682,2693,2698,2719,2625,2625,2695,2685,2695,2705,2665,2685,2737,2765,2718,2775,2823,2830
Jamaica Estates,Queens,neighborhood,2250,2195,1738,1795,1600,1750,1938,2998,2495,1995,1995,1875,1850,1800,1888,1800,1833,2545,2320,2273,2325,2288,1800,2192,1550,2098,1799,1785,1895,1895,1884,1849,1800,1750,1625,1785,1895,2075,2335,,1825,1850,1900,2005,1873,1960,1800,1850,1775,1960,2180,1905,1848,1928,1960,1935,1900,1850,1850,1825,1850,1850,1800,1850,2030,2165,2450,2600,2100,2050,2000,1985,1800,1825,1963,1675,1950,2150,2325,2175,2450,2150
Jamaica Hills,Queens,neighborhood,1650,1588,1625,1925,2000,,2250,,,,,,,,,,,2400,2400,,,,,,,,,,,2150,1875,1795,1850,1895,2375,1850,,,,,,,,1750,,1750,1750,1825,1625,1750,1750,1895,1873,,1775,2275,1850,1975,1600,1613,,1575,1613,1650,1650,,2200,1950,1798,2250,2250,2250,1875,1650,1625,,1645,,1898,2650,2592,2113
Kensington,Brooklyn,neighborhood,2100,1960,1895,1900,1950,2000,2100,2050,2000,2050,2000,2000,2095,2100,2100,1995,1995,2000,2200,2199,2100,2000,2095,2100,2100,2150,2000,2200,2100,2100,2250,2295,2349,2175,2200,2000,2100,2295,2250,2249,2150,2200,2165,2100,2000,1900,1880,1880,1875,1850,1800,1795,1800,1913,1993,2100,2250,2199,2050,2100,2250,2225,2248,2250,2575,2657,2650,2620,2600,2500,2300,2556,2495,2500,2648,2800,2650,2500,2500,2595,2725,2400
Kew Gardens,Queens,neighborhood,1975,1900,1950,2000,1850,1850,1850,1950,1888,1950,2000,2000,2000,1850,1950,1898,1850,2000,1898,1875,1825,1885,1850,1998,1850,1895,1900,1998,2057,2062,1975,1975,1900,1875,1843,1875,1895,2000,1965,1953,1850,1825,1850,1825,1878,1800,1900,1800,1875,1900,1870,1800,1800,1850,1895,1900,1895,1950,1995,2078,2050,1999,1999,1975,2000,2098,2099,2150,2150,2200,2300,2300,2300,2250,2100,2125,2200,2295,2350,2423,2495,2495
Kew Gardens Hills,Queens,neighborhood,1975,1975,1975,1950,1925,1875,1811,1975,1975,1975,1975,1850,1900,1875,1895,2000,2000,2000,1899,1875,2000,2000,1983,1853,1895,2013,1878,1856,1833,2025,2008,1929,1950,1985,1925,1810,1925,1898,1898,1810,1810,2150,2100,2000,1880,1978,1950,1825,1900,1900,1900,1999,2012,1950,2050,1750,2050,2000,2025,1999,2150,2200,2000,2225,2075,1999,2095,2300,2375,2400,2600,2400,2300,2299,2300,2200,2450,3200,2875,2980,2999,2999
Kingsbridge,Bronx,neighborhood,1925,1600,1750,1697,1919,1625,1625,1700,1625,1750,1750,1725,1550,1625,1775,1950,1900,1838,1750,1763,1800,1750,1750,1695,1673,1828,1888,1850,1963,1825,1750,1885,1895,1825,1700,1813,1838,1775,1850,1900,1700,1785,1813,1750,1797,1790,1900,1788,1850,1799,1775,1800,1800,1800,1800,1950,1888,1750,1700,1725,1650,1700,1923,1863,1900,2107,1995,1875,1775,1910,1885,1895,2000,2213,2060,2175,2138,2243,2395,2399,2399,2399
Laconia,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurelton,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,,,,,,,,,,,
Little Italy,Manhattan,neighborhood,3050,3100,3050,3000,2799,2800,2800,3000,2795,2700,2795,2613,2600,2600,2998,3000,3045,2848,2900,2795,2700,3100,3150,3000,3200,3048,3000,3550,3350,3400,3200,3563,3450,3400,3350,3300,3200,3460,3473,3424,3200,3200,2995,2750,2900,2700,2675,2625,2398,2398,2400,2700,2500,2775,2739,2900,2838,2995,2995,2995,3200,3500,4000,4000,4098,4200,4000,3750,3995,4200,3900,3995,3875,4000,4498,4400,4100,4225,4000,4100,3973,4323
Little Neck,Queens,neighborhood,,,,,,2600,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island City,Queens,neighborhood,3030,3017,2983,2996,2950,3000,3055,3100,3000,2898,2829,2830,2827,2895,2944,2900,3024,3102,3123,3115,3204,3100,3095,3098,3051,3000,3084,3187,3250,3270,3298,3386,3302,3327,3275,3200,3158,3155,3195,3140,3100,3090,2995,2910,2876,2999,3000,2980,2950,2950,2936,2960,3019,3195,3259,3400,3485,3527,3600,3690,3600,3675,3735,3995,4100,4095,4054,4000,3960,3873,3900,3871,3850,4000,4076,4100,4259,4000,4100,4248,4288,4250
Longwood,Bronx,neighborhood,,,1800,1575,,1563,,,,,,,,,,,,,1650,1550,,2088,,,2028,2065,2175,2000,2025,1923,,,,,,,,,,,,,,2025,2049,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower East Side,Manhattan,neighborhood,2895,3100,3000,3000,3200,3156,3200,3195,3097,3000,2995,2950,2983,2950,3030,3204,3250,3200,3250,3323,3300,3300,3300,3250,3200,3250,3250,3400,3585,3600,3450,3500,3550,3600,3664,3700,3800,3910,3920,3695,3465,3199,3000,2994,2800,2800,2795,2750,2750,2700,2755,2807,3000,3100,3295,3475,3500,3500,3600,3695,3948,3999,4144,4153,4299,4200,4295,4265,4400,4193,3995,4000,4200,4300,4200,4275,4200,4400,4350,4200,4395,4200
Manhattan,Manhattan,borough,3215,3250,3250,3300,3300,3300,3300,3300,3300,3267,3200,3200,3200,3204,3200,3250,3300,3300,3300,3300,3299,3250,3250,3295,3275,3300,3300,3400,3460,3500,3499,3495,3500,3500,3500,3500,3500,3500,3500,3450,3300,3203,3100,2999,2914,2824,2800,2800,2775,2799,2800,2800,2895,2950,3000,3136,3250,3325,3495,3550,3725,3818,3895,4000,4041,4100,4195,4150,4195,4155,4100,4175,4200,4300,4295,4395,4395,4350,4329,4295,4295,4200
Manhattan Beach,Brooklyn,neighborhood,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marble Hill,Manhattan,neighborhood,,,,,,,2200,2235,2200,,,,,2200,2255,2320,,,2240,2220,2013,1975,2160,,,2050,2095,2363,,,2075,2175,,,2383,,2383,,2260,,,,,1838,,,,,,1895,1895,1895,1875,1885,,1850,1925,,,,1938,1950,,,,,,,2350,,,,,,,,,,,,,
Marine Park,Brooklyn,neighborhood,1875,1850,,,1750,1750,1950,2000,,,2096,2271,2300,2300,,,,,,1699,,2250,2600,2500,1700,2000,2325,1868,,,,2195,2200,,,,,,,,,,,,,,2075,2075,2100,,2000,,,,,,2000,1925,,,,,2500,2999,,2913,,,,,2699,,,,,,,,,,,
Maspeth,Queens,neighborhood,2000,2099,2150,2100,2100,2150,2175,2200,2200,2148,2000,2000,2125,2050,2250,2200,2000,2199,2075,2200,2100,2099,2075,2025,2100,2100,2200,2100,2093,2199,2199,2098,2100,2100,2100,1975,1950,2100,2225,2100,2295,2250,2100,2100,1999,1917,1925,1900,1900,2000,2100,2100,2100,2050,2160,2170,2000,2100,2199,2175,2200,2399,2300,2250,2300,2400,2425,2500,2500,2500,2500,2400,2350,2500,2500,2450,2500,2544,2519,2675,2500,2500
Melrose,Bronx,neighborhood,,,,1713,1925,1982,2000,2025,,1880,1817,,,,,,1900,1663,,1842,1775,1675,,,1840,1840,1837,1750,1844,1975,2034,2016,1987,1920,1920,1920,1795,2200,2200,,,,,1438,,2108,2150,,1750,,,1723,1900,1848,1975,,1999,2000,2195,1995,1995,,1895,1800,1800,2100,2100,2000,1963,2100,,,,2150,2300,2200,,2600,2800,2400,2388,2295
Middle Village,Queens,neighborhood,2100,2100,2250,1900,1875,2000,1973,1950,2000,1999,1875,1723,,2200,2000,2075,2085,2095,2000,2100,2200,2200,2099,2000,2099,1950,2199,2200,2200,2000,2200,2050,2300,2450,2450,2100,2200,2300,2287,,2399,2400,2275,2238,2200,2100,2199,1975,2200,2000,2000,2200,2100,2100,1975,2100,2199,2100,2248,2300,2300,2100,2100,2599,2400,2499,2500,2500,2500,2588,2400,2399,2625,2600,2650,2538,2538,2500,2500,2500,2375,2500
Midtown,Manhattan,neighborhood,3950,4000,3999,4000,4200,4200,4198,3802,4000,3900,3854,3900,3863,3950,3900,3800,3800,3900,3873,3895,3930,3995,4000,3910,3859,3900,4000,4000,4200,4198,4125,4000,4125,4295,4328,4277,4034,4073,4150,3950,3698,3537,3500,3670,3600,3500,3495,3500,3400,3500,3500,3500,3842,3865,3990,4250,4525,4650,4590,4835,4995,4998,5000,5000,5200,4800,5000,4900,4960,5000,5100,5070,5100,5100,5000,5200,5400,5100,5010,5100,5100,5048
Midtown East,Manhattan,neighborhood,3295,3350,3332,3395,3395,3400,3375,3323,3300,3300,3195,3200,3250,3275,3287,3345,3395,3400,3420,3400,3395,3395,3400,3420,3389,3395,3400,3428,3495,3500,3594,3595,3575,3536,3600,3500,3573,3512,3500,3426,3296,3127,3000,2950,2850,2754,2750,2725,2719,2800,2850,2945,3000,3130,3350,3495,3695,3700,3995,3995,4200,4273,4250,4250,4200,4200,4300,4175,4200,4100,4100,4200,4209,4353,4350,4500,4493,4495,4423,4450,4495,4371
Midtown South,Manhattan,neighborhood,3895,3950,3965,3964,3923,3885,3950,3969,3965,3950,3689,3623,3572,3616,3598,3650,3675,3950,3850,4053,3988,3965,3840,3895,3800,3900,3995,3923,4000,4149,4155,4097,4195,4028,4028,4125,3992,4200,4156,3760,3696,3575,3458,3289,3200,3300,3100,3188,3200,3255,3286,3395,3655,3975,4070,4358,4598,4600,4595,4795,4995,4735,4673,4873,4995,5000,5000,4895,4773,4700,4550,4895,4895,4918,4910,5050,4855,5000,4792,4800,4803,4726
Midtown West,Manhattan,neighborhood,3300,3323,3215,3342,3400,3415,3450,3495,3441,3400,3300,3300,3297,3300,3300,3390,3450,3495,3454,3461,3500,3495,3470,3500,3450,3500,3500,3507,3575,3600,3650,3700,3654,3600,3647,3659,3647,3641,3643,3500,3300,3200,3047,2950,2900,2900,2850,2840,2900,2895,2936,3000,3000,3195,3439,3500,3700,3855,3928,4000,4225,4200,4178,4296,4455,4300,4338,4174,4232,4195,4195,4270,4275,4300,4295,4395,4399,4390,4338,4364,4194,4178
Midwood,Brooklyn,neighborhood,1800,1825,1900,1888,1800,1850,1800,1750,1850,1787,1800,1700,1765,1750,1725,1750,1750,1750,1795,1850,1895,1808,1807,1797,1825,1846,1850,1899,1899,1875,1900,2075,1950,1975,2000,2100,2100,2050,2100,2055,2055,2000,1925,1950,1858,1850,1850,1850,1850,1773,1800,1845,1950,1985,1976,1975,2096,1997,2100,2100,2163,2125,2100,2095,2200,2300,2300,2250,2300,2500,2450,2500,2600,2550,2550,2446,2528,2399,2450,2497,2498,2850
Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
